Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-11-30,26.22432838383351,26.383692972256537,26.206621207342064,26.259742736816406,230000,30,1,48,11,1993
1993-12-01,26.40140528052744,26.419112460460724,26.29516220092773,26.295162200927734,379200,1,2,48,12,1993
1993-12-02,26.34827106954909,26.3836854123845,26.295149555295964,26.365978240966797,352000,2,3,48,12,1993
1993-12-03,26.348265478842237,26.47221565246582,26.348265478842237,26.47221565246582,306000,3,4,48,12,1993
1993-12-06,26.507646591186525,26.596182484944663,26.507646591186525,26.560768127441406,99500,6,0,49,12,1993
1993-12-07,26.56075412070775,26.578461290121552,26.50763261246633,26.543046951293945,88800,7,1,49,12,1993
1993-12-08,26.54304695129394,26.54304695129394,26.50763261246633,26.543046951293945,146700,8,2,49,12,1993
1993-12-09,26.54304749132639,26.578461830874524,26.41909730290792,26.454511642456055,416500,9,3,49,12,1993
1993-12-10,26.472230229419324,26.472230229419324,26.348279987542444,26.40140151977539,412900,10,4,49,12,1993
1993-12-13,26.40140351867676,26.560768127441406,26.365989161173502,26.560768127441406,273200,13,0,50,12,1993
1993-12-14,26.578464297979288,26.578464297979288,26.365978240966793,26.365978240966797,41900,14,1,50,12,1993
1993-12-15,26.401391273708896,26.419098444247936,26.330562591552734,26.330562591552734,82600,15,2,50,12,1993
1993-12-16,26.436812705073216,26.436812705073216,26.383691179209034,26.419105529785156,78200,16,3,50,12,1993
1993-12-17,26.475166192790805,26.582136561246525,26.457337798048183,26.564308166503906,104700,17,4,50,12,1993
1993-12-20,26.54646753817397,26.61778108428055,26.528639151647326,26.599952697753906,68800,20,0,51,12,1993
1993-12-21,26.564292189412736,26.564292189412736,26.475150269314035,26.510807037353516,205700,21,1,51,12,1993
1993-12-22,26.58211852553373,26.706917204057362,26.528633377595032,26.689088821411133,410300,22,2,51,12,1993
1993-12-23,26.67126655578613,26.724751715991584,26.63560978231583,26.671266555786133,533800,23,3,51,12,1993
1993-12-27,26.671272866269376,26.813899993896484,26.671272866269376,26.813899993896484,447100,27,0,52,12,1993
1993-12-28,26.796060884876923,26.88520280398829,26.77823250105465,26.867374420166016,880600,28,1,52,12,1993
1993-12-29,26.885207420171696,26.903035807055097,26.813893872638083,26.831722259521484,266700,29,2,52,12,1993
1993-12-30,26.813882879927764,26.813882879927764,26.671255843332403,26.724740982055664,219900,30,3,52,12,1993
1993-12-31,26.77823120055784,26.813887966470702,26.564290605080682,26.58211898803711,312900,31,4,52,12,1993
1994-01-03,26.582120573432476,26.617777341471957,26.475150269314035,26.510807037353516,960900,3,0,1,1,1994
1994-01-04,26.546465238148304,26.617778778076172,26.510808468184372,26.617778778076172,164300,4,1,1,1,1994
1994-01-05,26.65343816905098,26.689094942521283,26.546467848640074,26.671266555786133,710900,5,2,1,1,1994
1994-01-06,26.706923329256433,26.724751715991584,26.63560978231583,26.671266555786133,201000,6,3,1,1,1994
1994-01-07,26.72475193822107,26.84955064640489,26.653438390687455,26.831722259521484,775500,7,4,1,1,1994
1994-01-10,26.867375697576133,27.152629852294925,26.796062158896437,27.152629852294922,593700,10,0,2,1,1994
1994-01-11,27.134795020755966,27.134795020755966,27.00999635771701,27.099138259887695,295200,11,1,2,1,1994
1994-01-12,27.116982016232935,27.116982016232935,26.920869720257546,27.010011672973633,158400,12,2,2,1,1994
1994-01-13,26.93870735168457,26.992192541661446,26.903050558366658,26.93870735168457,244300,13,3,2,1,1994
1994-01-14,27.02784116439467,27.09915472947223,27.02784116439467,27.045669555664062,137200,14,4,2,1,1994
1994-01-17,27.04566955566406,27.08132633820284,26.992184381855893,27.045669555664062,17700,17,0,3,1,1994
1994-01-18,27.08132553100586,27.116982312481838,27.02784035879189,27.08132553100586,166400,18,1,3,1,1994
1994-01-19,27.045668454060067,27.0813252351465,26.95652650134398,27.010011672973633,200800,19,2,3,1,1994
1994-01-20,27.04566874952988,27.09915392174385,27.02784035879189,27.08132553100586,281100,20,3,3,1,1994
1994-01-21,27.116977784753157,27.116977784753157,27.010007458186085,27.027835845947266,85600,21,4,3,1,1994
1994-01-24,27.010004125683515,27.134802824614066,26.920862197875977,26.920862197875977,373800,24,0,4,1,1994
1994-01-25,26.938690583437484,26.956518968998992,26.867377041191457,26.920862197875977,310400,25,1,4,1,1994
1994-01-26,26.920862512827863,27.010004441678287,26.885205741287695,26.992176055908203,145100,26,2,4,1,1994
1994-01-27,27.045665148041014,27.277434196771754,27.010008371313205,27.241777420043945,344500,27,3,4,1,1994
1994-01-28,27.34875760439482,27.40224278875804,27.313100814819336,27.313100814819336,356500,28,4,4,1,1994
1994-01-31,27.42005341159625,27.562680477456308,27.384396645131236,27.50919532775879,313800,31,0,5,1,1994
1994-02-01,27.473541738155998,27.473541738155998,27.33091465580347,27.3665714263916,303600,1,1,5,2,1994
1994-02-02,27.455707488322336,27.544849395751953,27.437879106836412,27.544849395751953,307600,2,2,5,2,1994
1994-02-03,27.491382313642763,27.491382313642763,27.330926774847182,27.420068740844727,466100,3,3,5,2,1994
1994-02-04,27.420063747220727,27.455720527126086,26.796070098876953,26.796070098876953,1403200,4,4,5,2,1994
1994-02-07,26.724749956699398,26.992175740122008,26.724749956699398,26.920862197875977,516400,7,0,6,2,1994
